kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
9073645,1.41,0.18,0.13,2.38,0.12,0.1,0.1057,0.0062,0.0061,3.838,0.018000000000000002,0.019,3.6,0.8,1.0,Chaplin et al. (2014)
9073950,1.28,0.11,0.13,3.81,0.12,0.16,0.023,0.0007,0.0007,3.38,0.012,0.013000000000000001,4.7,1.3,1.1,Chaplin et al. (2014)
9093289,1.24,0.13,0.17,1.44,0.06,0.07,0.4153,0.0287,0.0266,4.213,0.024,0.026000000000000002,2.9,2.1,1.3,Chaplin et al. (2014)
9116461,1.29,0.07,0.1,1.27,0.04,0.04,0.6212,0.0288,0.0281,4.335,0.013999999999999999,0.016,0.5,1.2,0.6,Chaplin et al. (2014)
9119139,1.14,0.22,0.13,1.79,0.11,0.09,0.1996,0.0108,0.0104,3.991,0.024,0.021,6.4,2.1,2.2,Chaplin et al. (2014)
9138680,1.36,0.13,0.13,2.45,0.09,0.09,0.0922,0.0034,0.0033,3.792,0.018000000000000002,0.015,4.1,0.8,0.7,Chaplin et al. (2014)
9143749,1.13,0.19,0.12,1.72,0.1,0.08,0.2254,0.0093,0.0092,4.026,0.019,0.019,6.5,2.1,2.0,Chaplin et al. (2014)
9150095,1.4,0.41,0.15,4.25,0.54,0.24,0.0182,0.0015,0.0017,3.335,0.01,0.011000000000000001,3.8,1.3,2.0,Chaplin et al. (2014)
9158609,0.93,0.58,0.2,3.05,0.49,0.29,0.0345,0.006,0.0055,3.465,0.06,0.057,12.6,7.2,9.6,Chaplin et al. (2014)
9163769,1.38,0.14,0.1,1.54,0.05,0.05,0.3834,0.017,0.0167,4.208,0.018000000000000002,0.017,1.7,0.7,0.8,Chaplin et al. (2014)
9201604,1.24,0.2,0.22,3.21,0.24,0.26,0.0377,0.0028,0.0027,3.5189999999999997,0.011000000000000001,0.011000000000000001,5.1,3.2,1.7,Chaplin et al. (2014)
