kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
11127479,1.16,0.11,0.15,1.37,0.05,0.08,0.4542,0.0227,0.0209,4.229,0.015,0.016,4.6,2.7,1.6,Chaplin et al. (2014)
11133100,1.51,0.15,0.21,2.38,0.13,0.14,0.1101,0.0096,0.0087,3.855,0.025,0.026000000000000002,3.0,1.4,0.7,Chaplin et al. (2014)
11138101,1.36,0.14,0.15,2.36,0.09,0.1,0.1037,0.0064,0.0063,3.826,0.023,0.024,4.0,0.9,0.9,Chaplin et al. (2014)
11189107,1.52,0.2,0.15,2.26,0.13,0.11,0.1314,0.0126,0.0109,3.911,0.027999999999999997,0.027000000000000003,2.6,1.0,0.9,Chaplin et al. (2014)
11193681,1.33,0.1,0.13,2.41,0.07,0.09,0.0945,0.0037,0.0035,3.7939999999999996,0.015,0.015,4.6,0.7,0.6,Chaplin et al. (2014)
11229052,1.23,0.13,0.15,1.47,0.05,0.06,0.3863,0.0129,0.0121,4.192,0.017,0.021,3.2,1.9,1.2,Chaplin et al. (2014)
11294717,1.1,0.14,0.14,1.82,0.09,0.09,0.1825,0.0094,0.0093,3.957,0.024,0.02,7.0,2.4,1.6,Chaplin et al. (2014)
11307875,1.54,0.21,0.21,4.14,0.22,0.23,0.0217,0.0007,0.0007,3.389,0.016,0.017,3.0,1.6,1.0,Chaplin et al. (2014)
11389393,1.3,0.13,0.15,1.86,0.08,0.08,0.2006,0.0113,0.0105,4.0089999999999995,0.019,0.021,4.3,1.1,1.2,Chaplin et al. (2014)
11389437,1.16,0.12,0.11,1.68,0.06,0.06,0.2452,0.008,0.0077,4.052,0.015,0.015,5.3,1.6,1.0,Chaplin et al. (2014)
11401156,1.08,0.12,0.12,2.49,0.11,0.11,0.0699,0.0021,0.0021,3.678,0.012,0.013000000000000001,7.3,3.6,1.9,Chaplin et al. (2014)
11401708,1.42,0.28,0.11,2.55,0.14,0.08,0.0857,0.0025,0.0024,3.7769999999999997,0.023,0.012,3.9,0.6,1.6,Chaplin et al. (2014)
11453915,1.19,0.1,0.12,1.21,0.04,0.04,0.6741,0.0275,0.0273,4.348,0.015,0.019,1.5,2.0,1.3,Chaplin et al. (2014)
11454149,1.15,0.11,0.12,1.16,0.05,0.05,0.7263,0.0458,0.0446,4.364,0.019,0.021,1.9,2.2,1.6,Chaplin et al. (2014)
11456910,1.21,0.19,0.17,1.68,0.08,0.09,0.2587,0.0171,0.0163,4.073,0.028999999999999998,0.027999999999999997,4.7,3.1,2.1,Chaplin et al. (2014)
11460626,1.28,0.13,0.16,2.21,0.09,0.1,0.1191,0.0052,0.0048,3.855,0.02,0.018000000000000002,4.7,1.0,0.9,Chaplin et al. (2014)
11467550,1.3,0.15,0.14,2.02,0.08,0.08,0.1591,0.0062,0.0061,3.944,0.018000000000000002,0.02,4.3,1.0,1.1,Chaplin et al. (2014)
11496573,1.36,0.27,0.15,3.58,0.27,0.17,0.0294,0.0013,0.0013,3.4619999999999997,0.015,0.015,4.3,1.4,1.8,Chaplin et al. (2014)
11502597,1.12,0.15,0.12,1.63,0.09,0.08,0.2599,0.0115,0.0107,4.066,0.013000000000000001,0.013999999999999999,6.5,2.7,1.9,Chaplin et al. (2014)
11506988,1.27,0.17,0.11,1.9,0.08,0.07,0.1874,0.0072,0.007,3.988,0.021,0.018000000000000002,4.5,0.7,1.4,Chaplin et al. (2014)
11507653,1.04,0.2,0.14,1.59,0.09,0.08,0.2604,0.0173,0.0166,4.053999999999999,0.027999999999999997,0.026000000000000002,8.0,3.1,2.9,Chaplin et al. (2014)
11554100,1.18,0.15,0.16,3.62,0.19,0.22,0.025,0.0012,0.0011,3.392,0.011000000000000001,0.011000000000000001,6.4,3.5,1.6,Chaplin et al. (2014)
11558593,1.36,0.24,0.19,3.15,0.19,0.17,0.0435,0.0015,0.0015,3.575,0.019,0.022000000000000002,4.1,1.6,1.5,Chaplin et al. (2014)
11611414,1.19,0.23,0.1,1.71,0.1,0.09,0.2458,0.0218,0.0216,4.06,0.027999999999999997,0.028999999999999998,4.7,0.9,1.8,Chaplin et al. (2014)
11620833,1.47,0.22,0.15,3.77,0.22,0.15,0.0273,0.0008,0.0008,3.4530000000000003,0.016,0.016,3.6,1.3,1.3,Chaplin et al. (2014)
11674236,1.08,0.14,0.15,2.0,0.1,0.11,0.1351,0.0078,0.0076,3.8680000000000003,0.02,0.02,7.1,2.7,1.4,Chaplin et al. (2014)
11708273,1.11,0.16,0.13,1.58,0.08,0.07,0.2824,0.0138,0.0139,4.086,0.023,0.023,6.3,2.6,2.0,Chaplin et al. (2014)
11709205,1.3,0.09,0.15,4.03,0.13,0.19,0.0198,0.0008,0.0007,3.3369999999999997,0.011000000000000001,0.012,5.4,2.2,1.0,Chaplin et al. (2014)
11713510,1.05,0.12,0.09,1.61,0.07,0.06,0.2501,0.0079,0.0078,4.043,0.013999999999999999,0.012,7.9,2.2,2.1,Chaplin et al. (2014)
11722551,1.1,0.08,0.07,2.2,0.06,0.07,0.1027,0.0028,0.0028,3.792,0.008,0.009000000000000001,8.2,2.2,1.6,Chaplin et al. (2014)
11723674,1.42,0.18,0.12,2.48,0.1,0.09,0.0939,0.0044,0.0042,3.805,0.019,0.019,3.6,0.7,1.1,Chaplin et al. (2014)
11771760,1.55,0.12,0.14,3.0,0.1,0.11,0.0575,0.0023,0.0023,3.673,0.016,0.013999999999999999,3.0,0.7,0.6,Chaplin et al. (2014)
11802939,1.37,0.15,0.15,2.68,0.14,0.14,0.0715,0.0073,0.007,3.719,0.03,0.031,3.9,0.9,0.8,Chaplin et al. (2014)
11802968,0.89,0.14,0.1,2.42,0.14,0.11,0.0627,0.0023,0.0025,3.6210000000000004,0.013999999999999999,0.013000000000000001,13.8,5.1,5.6,Chaplin et al. (2014)
11809558,1.34,0.16,0.13,2.98,0.13,0.11,0.0506,0.0014,0.0015,3.616,0.013000000000000001,0.013000000000000001,4.6,1.2,1.4,Chaplin et al. (2014)
11817562,1.45,0.21,0.14,2.51,0.12,0.1,0.0921,0.0035,0.0033,3.803,0.019,0.02,3.5,0.8,1.2,Chaplin et al. (2014)
11862119,1.11,0.2,0.15,1.5,0.31,0.3,0.3325,0.0744,0.0741,4.135,0.098,0.099,5.6,2.5,2.2,Chaplin et al. (2014)
11873252,1.02,0.32,0.21,3.54,0.49,0.33,0.0229,0.002,0.0025,3.3480000000000003,0.016,0.015,8.6,7.4,4.4,Chaplin et al. (2014)
11911418,1.27,0.13,0.13,2.63,0.1,0.11,0.07,0.0021,0.0021,3.702,0.011000000000000001,0.013000000000000001,4.7,1.0,0.8,Chaplin et al. (2014)
11919192,1.6,0.15,0.2,2.29,0.1,0.11,0.1334,0.0087,0.0084,3.9210000000000003,0.019,0.021,2.2,1.1,0.6,Chaplin et al. (2014)
11962180,1.36,0.14,0.15,1.97,0.1,0.1,0.1778,0.0119,0.0115,3.9810000000000003,0.018000000000000002,0.018000000000000002,3.6,1.2,0.9,Chaplin et al. (2014)
11971746,1.14,0.11,0.17,1.36,0.05,0.08,0.4486,0.0203,0.0202,4.221,0.019,0.021,5.0,3.8,2.0,Chaplin et al. (2014)
12011630,0.83,0.11,0.07,0.98,0.04,0.03,0.8898,0.0302,0.0299,4.38,0.017,0.015,12.5,3.6,5.2,Chaplin et al. (2014)
12020532,1.75,0.14,0.19,3.95,0.14,0.17,0.0283,0.0012,0.0012,3.484,0.013000000000000001,0.015,2.0,0.7,0.4,Chaplin et al. (2014)
12055375,0.98,0.15,0.12,1.51,0.09,0.08,0.2848,0.0244,0.0236,4.072,0.026000000000000002,0.027000000000000003,9.8,3.6,3.2,Chaplin et al. (2014)
12058443,1.09,0.12,0.12,3.22,0.14,0.15,0.0329,0.001,0.001,3.4619999999999997,0.011000000000000001,0.012,7.5,3.9,2.0,Chaplin et al. (2014)
12069127,1.4,0.15,0.09,2.22,0.09,0.07,0.1286,0.0053,0.0054,3.8930000000000002,0.016,0.015,3.6,0.7,1.1,Chaplin et al. (2014)
12069569,1.41,0.14,0.14,2.34,0.11,0.1,0.1097,0.0084,0.0081,3.8480000000000003,0.024,0.024,3.6,0.8,0.8,Chaplin et al. (2014)
12117868,1.1,0.13,0.14,1.32,0.06,0.07,0.4719,0.0244,0.023,4.232,0.018000000000000002,0.019,5.1,3.1,2.1,Chaplin et al. (2014)
12156916,1.25,0.15,0.16,1.57,0.06,0.07,0.3215,0.0115,0.011,4.141,0.019,0.025,3.5,1.7,1.2,Chaplin et al. (2014)
12265063,1.17,0.18,0.14,1.68,0.08,0.08,0.2474,0.0114,0.0113,4.055,0.023,0.024,5.2,2.2,1.5,Chaplin et al. (2014)
12304142,1.37,0.11,0.11,1.83,0.05,0.05,0.2237,0.0067,0.0062,4.0489999999999995,0.013999999999999999,0.013999999999999999,3.5,1.0,0.7,Chaplin et al. (2014)
12307366,1.59,0.13,0.24,3.97,0.17,0.26,0.0252,0.0011,0.0011,3.432,0.011000000000000001,0.012,2.6,1.8,0.6,Chaplin et al. (2014)
12317678,1.41,0.14,0.09,1.85,0.06,0.05,0.2259,0.0075,0.0066,4.058,0.013999999999999999,0.013000000000000001,2.9,0.6,0.8,Chaplin et al. (2014)
12352180,1.15,0.23,0.12,1.88,0.11,0.08,0.1733,0.0048,0.0048,3.949,0.027999999999999997,0.015,6.7,2.0,2.6,Chaplin et al. (2014)
12366681,1.56,0.15,0.19,2.64,0.11,0.12,0.0832,0.0032,0.0028,3.781,0.016,0.021,3.0,0.9,0.8,Chaplin et al. (2014)
12507240,1.38,0.13,0.12,1.94,0.06,0.06,0.1904,0.0075,0.007,4.003,0.016,0.016,3.7,0.9,0.9,Chaplin et al. (2014)
12508433,1.19,0.09,0.12,2.22,0.07,0.09,0.1092,0.0039,0.0037,3.82,0.011000000000000001,0.013000000000000001,6.0,1.6,0.8,Chaplin et al. (2014)
12735580,1.23,0.21,0.12,1.84,0.1,0.09,0.2021,0.0179,0.0171,4.007,0.032,0.031,4.7,0.8,1.7,Chaplin et al. (2014)
3430893,1.31,0.1,0.13,1.55,0.05,0.06,0.3479,0.0143,0.0139,4.169,0.015,0.016,3.1,0.9,0.8,Chaplin et al. (2014)
3547794,1.4,0.11,0.13,1.75,0.06,0.06,0.2585,0.0152,0.0145,4.093,0.019,0.019,2.7,0.8,0.7,Chaplin et al. (2014)
4247542,1.13,0.2,0.08,1.6,0.09,0.05,0.2811,0.0153,0.0146,4.091,0.022000000000000002,0.018000000000000002,4.7,1.0,1.7,Chaplin et al. (2014)
7970740,0.82,0.11,0.05,0.8,0.03,0.02,1.6327,0.0797,0.0792,4.5569999999999995,0.017,0.018000000000000002,6.2,3.3,5.9,Chaplin et al. (2014)
9455860,1.37,0.12,0.1,1.67,0.07,0.06,0.2966,0.0196,0.0191,4.132,0.02,0.019,2.5,0.8,0.6,Chaplin et al. (2014)
9897838,1.06,0.09,0.08,2.6,0.09,0.08,0.0604,0.0016,0.0017,3.633,0.009000000000000001,0.009000000000000001,7.1,1.9,1.6,Chaplin et al. (2014)
10129349,1.35,0.1,0.16,1.53,0.05,0.06,0.3735,0.0173,0.0169,4.194,0.017,0.018000000000000002,2.0,1.4,0.7,Chaplin et al. (2014)
10593351,1.48,0.12,0.13,3.01,0.11,0.12,0.0545,0.0025,0.0024,3.6510000000000002,0.012,0.013000000000000001,3.3,0.7,0.6,Chaplin et al. (2014)
10976896,1.17,0.13,0.15,2.22,0.1,0.12,0.1066,0.0047,0.0046,3.812,0.012,0.013000000000000001,5.5,1.5,0.8,Chaplin et al. (2014)
11188219,1.01,0.13,0.12,1.28,0.07,0.06,0.4825,0.0296,0.0288,4.227,0.019,0.019,7.5,3.0,2.8,Chaplin et al. (2014)
11757831,1.42,0.14,0.1,1.82,0.07,0.06,0.2351,0.01,0.0098,4.07,0.013999999999999999,0.013999999999999999,2.7,0.6,0.8,Chaplin et al. (2014)
11968749,1.43,0.48,0.43,4.25,0.45,0.48,0.0187,0.0009,0.0009,3.342,0.033,0.051,3.6,4.5,2.2,Chaplin et al. (2014)
12253255,1.48,0.16,0.14,2.27,0.11,0.09,0.1244,0.0068,0.0071,3.89,0.018000000000000002,0.018000000000000002,3.1,0.8,0.9,Chaplin et al. (2014)
