kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref,tm_designation,teff,teff_err1,teff_err2,logg_kic,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass_kic,mass_err1,mass_err2,radius_kic,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
10666592,1.4969999999999999,0.042,0.04,1.986,0.018000000000000002,0.015,0.26899999999999996,0.004,0.005,4.0169999999999995,0.006999999999999999,0.009000000000000001,2.11,0.29,0.24,Silva-Aguirre et al. (2014), J19285935+4758102,6350,80.0,-80.0,4.021,0.011000000000000001,-0.011000000000000001,0.26,0.08,-0.08,1.52,0.036,-0.036,1.9909999999999999,0.018000000000000002,-0.018000000000000002,0.2712,0.0032,-0.0032,MULT8,10.463,,,,1,1,2,010/010666/010666592/dv/kplr010666592-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,292.24728,47.969521,11111111111111111,SPE8,AST8,SPE8,9.555,0.03,9.344,0.028999999999999998,9.334,0.018000000000000002,0.8751,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.12,7.122000000000001,43.68600000000001,41.332,41.188,40.05,39.801,38.798,38.046,37.058,36.284,35.516999999999996,35.064,34.948,35.023,35.245,,,,-2147483648,b'3547-1402-1 ',1635378410781933568,2129256390911665920,114106,2015.0,292.24719372000305,0.1967205183620744,47.969541608808235,0.287822301762167,2.9901993959014006,0.41643538812796915,-18.04115798941326,2.3811296556079267,8.073907184953349,0.9443265087928109,0.4071354568004608,0.3037990629673004,-0.29433831572532654,-0.676600992679596,0.882931649684906,-0.8887720108032227,-0.6336057782173157,-0.948204755783081,-0.5024276971817017,0.4148547053337097,44,44,44,44,0,0,,0.303918439239119,89.66763096760076,False,3.1107122898101807,9.071897506713867,2.760674942692276e-05,5,7,False,0.4807828664779663,0.3172124922275543,0.23676252365112305,0.1429312527179718,-115.22888946533203,12.827187538146973,-23.809850692749023,32.77950668334961,53,1203713.150372477,1813.1455491109216,10.32346255096462,b'NOT_AVAILABLE',80.03293209619768,13.975371645694201,312.8681980640176,68.1239727753071,2.1743359136580733e-05
6521045,1.1079999999999999,0.021,0.019,1.5130000000000001,0.009000000000000001,0.012,0.45399999999999996,0.004,0.006,4.125,0.004,0.004,6.5,0.46,0.56,Silva-Aguirre et al. (2014), J19253263+4159249,5825,75.0,-75.0,4.125,0.009000000000000001,-0.009000000000000001,0.02,0.10099999999999999,-0.10099999999999999,1.08,0.063,-0.063,1.49,0.035,-0.035,0.4574,0.01252,-0.01252,MULT8,11.197000000000001,,,,3,3,3,006/006521/006521045/dv/kplr006521045-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,291.38599,41.990269,11111111111111111,SPE8,AST8,SPE8,10.081,0.021,9.804,0.017,9.767999999999999,0.013999999999999999,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,40.064,36.43,35.055,33.085,31.899,29.671999999999997,28.739,27.340999999999998,25.994,25.063000000000002,24.531999999999996,24.076999999999998,24.009,23.975,,,,-2147483648,b'3142-407-1  ',1635378410781933568,2101733244046205568,314427,2015.0,291.3861256324346,0.13782434645069191,41.990143340472635,0.20473772463911435,3.1537916356125892,0.25707540260700334,19.77687615819443,1.0357020875660226,-27.859388069957767,0.6848959844244337,0.30909594893455505,0.36298495531082153,-0.4798015356063843,-0.24822717905044556,0.5745167136192322,-0.5718327760696411,-0.42602723836898804,-0.8195790648460388,-0.1423877626657486,-0.0627477765083313,125,125,123,122,2,3,,0.40011311959141904,238.1768699496876,False,4.004779815673828,5.785419940948486,3.061094685108401e-05,5,20,False,0.3233529329299927,0.22755344212055206,0.13902489840984344,0.050196193158626556,-81.33438873291016,63.480464935302734,18.283931732177734,11.20743179321289,156,615902.9970752378,1747.1969866651234,11.05098927024881,b'NOT_AVAILABLE',74.22763334288933,11.945158497815344,306.30776883050095,62.759417702122434,2.0749708040965425e-05
8866102,1.228,0.042,0.04,1.357,0.012,0.015,0.695,0.01,0.011000000000000001,4.262,0.006999999999999999,0.008,2.6,0.56,0.53,Silva-Aguirre et al. (2014), J18523616+4508233,6325,75.0,-75.0,4.263999999999999,0.006,-0.006,0.01,0.10099999999999999,-0.10099999999999999,1.242,0.045,-0.045,1.361,0.018000000000000002,-0.018000000000000002,0.6892,0.008766,-0.008766,MULT8,9.363999999999999,,,,1,1,1,008/008866/008866102/dv/kplr008866102-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,283.1507,45.139832,11111111111111111,SPE8,AST8,SPE8,8.417,0.02,8.191,0.021,8.14,0.013000000000000001,0.8748,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,25.206,24.129,24.303,23.875999999999998,23.83,23.246,22.993000000000002,22.83,22.791999999999998,23.064,23.551,24.189,24.359,25.706999999999997,,,,-2147483648,b'3540-760-1  ',1635378410781933568,2106904144153090560,2055996,2015.0,283.1510326902992,0.15806097156751675,45.14007514930568,0.22833201938877468,6.509048840888277,0.27083315370191724,61.896400021871145,0.912144830917743,61.58438160628758,0.6849192300386613,0.0496327243745327,-0.016087379306554794,-0.3168995678424835,-0.07136104255914688,0.6740455627441406,-0.5264550447463989,-0.5320255756378174,-0.701586902141571,-0.33647432923316956,0.11791542917490005,105,105,102,102,3,3,,0.47063581230266327,328.70254615498936,False,4.669758319854736,4.187012672424316,2.43048052652739e-05,5,18,False,0.2819766700267792,0.08507537096738815,0.16953308880329132,0.1395602971315384,-109.44612121582031,68.03182983398438,11.927903175354004,-19.317590713500977,124,2968308.47096572,3831.2122349215933,9.343497485162551,b'NOT_AVAILABLE',74.81393670790641,18.66425913431717,294.7426584192613,67.45304953938478,2.6843962141603094e-05
3544595,0.899,0.009000000000000001,0.009000000000000001,0.9159999999999999,0.006,0.006,1.653,0.016,0.018000000000000002,4.468,0.003,0.003,6.63,0.62,0.57,Silva-Aguirre et al. (2014), J19254039+3840204,5669,75.0,-75.0,4.466,0.01,-0.01,-0.18,0.10099999999999999,-0.10099999999999999,0.909,0.057,-0.057,0.9209999999999999,0.02,-0.02,1.64,0.010209999999999999,-0.010209999999999999,MULT8,9.931000000000001,,,,2,1,1,003/003544/003544595/dv/kplr003544595-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,291.4183,38.672359,11111111111111111,SPE8,AST8,SPE8,8.771,0.019,8.446,0.017,8.37,0.019,0.875,1459.789,7.1,7.1,7.1,8.508,8.419,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,21.896,19.801,19.089000000000002,17.982,17.367,16.121,15.665999999999999,15.038,14.245,13.665999999999999,13.28,12.942,12.880999999999998,12.559000000000001,,,,-2147483648,b'3134-218-1  ',1635378410781933568,2052747114816221696,1509222,2015.0,291.4181325001718,0.19642998418654467,38.672313180218744,0.17802617310342822,10.131666271633161,0.33827831612100845,-29.69851962556328,1.2435661812211114,-5.570523281489821,1.1328650213291376,0.6869970560073853,0.8240182995796204,-0.8426271677017212,-0.7899966239929199,0.7615801692008972,-0.7781348824501038,-0.6417264342308044,-0.939434289932251,-0.8004703521728516,0.7885746955871582,61,61,61,58,0,3,,0.3055228579955598,143.57034551233812,False,3.125441074371338,9.258027076721191,2.305147427250631e-05,5,10,False,0.41475972533226013,0.12532266974449158,0.37127789855003357,0.24146918952465057,-59.11821365356445,-66.48368072509766,-15.206493377685547,10.299676895141602,76,1920159.4338138667,4066.660177630402,9.81642683797892,b'NOT_AVAILABLE',71.20377684104356,10.458355227806376,304.2783201360348,59.58863379281958,2.3676609339201195e-05
5866724,1.199,0.028999999999999998,0.03,1.399,0.012,0.012,0.616,0.006999999999999999,0.008,4.224,0.005,0.006999999999999999,3.89,0.59,0.48,Silva-Aguirre et al. (2014), J19144528+4109042,6169,50.0,-50.0,4.236000000000001,0.022000000000000002,-0.022000000000000002,0.09,0.08,-0.08,1.273,0.061,-0.061,1.4240000000000002,0.024,-0.024,0.621,0.011000000000000001,-0.011000000000000001,MULT8,11.017999999999999,,,,3,3,3,005/005866/005866724/dv/kplr005866724-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,288.68869,41.15118,11111111111111111,SPE8,AST8,SPE8,10.066,0.018000000000000002,9.852,0.021,9.806000000000001,0.017,0.8755,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,32.115,29.296999999999997,28.305999999999997,26.872,26.204,25.078000000000003,24.671999999999997,24.261999999999997,23.975,24.006,24.326999999999998,24.711,24.9,26.011999999999997,,,,-2147483648,b'3125-976-1  ',1635378410781933568,2102119172628019200,1070860,2015.0,288.6887219977741,0.23176929106299557,41.151109569271725,0.24654229335640368,3.5347886035828084,0.3448089769026476,-0.7480413280587226,1.049819281942345,-13.767653163119938,0.7117073257412222,0.02668897435069084,0.01693153753876686,-0.5566341876983643,0.07783994823694229,0.8360212445259094,-0.5613337159156799,-0.6360628604888916,-0.6545345783233643,-0.5350033640861511,0.06297692656517029,70,70,69,68,1,2,,0.40540488264750396,147.5694775390332,False,4.0544633865356445,5.689380645751953,2.563541420386173e-05,5,12,False,0.1872253119945526,0.3613349497318268,0.2207144796848297,0.23822376132011414,23.546838760375977,24.15776824951172,1.5090168714523315,-26.8934326171875,88,702186.7199112205,799.2433582645701,10.908638534781856,b'NOT_AVAILABLE',72.56960269343912,13.41465350984064,301.56901587229623,62.55712960167414,3.0184645395875907e-05
4914423,1.099,0.019,0.03,1.45,0.009000000000000001,0.009000000000000001,0.507,0.005,0.005,4.155,0.004,0.004,6.67,0.69,0.62,Silva-Aguirre et al. (2014), J19155629+4003522,5845,88.0,-88.0,4.163,0.011000000000000001,-0.011000000000000001,0.07,0.109,-0.109,1.094,0.068,-0.068,1.436,0.039,-0.039,0.5131,0.01971,-0.01971,MULT8,12.287,,,,2,2,2,004/004914/004914423/dv/kplr004914423-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,288.98456,40.064529,11111111111111111,SPE8,AST8,SPE8,11.193,0.021,10.940999999999999,0.016,10.873,0.017,0.8751,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,52.57899999999999,47.047,44.467,41.36600000000001,39.496,36.21,34.868,32.725,30.517,28.78,27.601,26.748,26.537,25.414,,,,-2147483648,b'3125-2038-1 ',1635378410781933568,2101243789577188736,1349075,2015.0,288.9845513789695,0.158774774926986,40.06448703518357,0.22764161001978622,2.4537179010071384,0.2983197742940451,-2.796238585472546,0.9890000173465914,-8.295418075851467,0.6549301300372247,0.2616434097290039,0.2832857370376587,-0.5596187710762024,-0.11899363994598389,0.6988486647605896,-0.613033652305603,-0.4885421395301819,-0.7994856238365173,-0.2822656035423279,0.03954525664448738,114,114,114,104,0,10,,0.49174304281084197,114.81347402564164,False,4.869781970977783,4.013176441192627,2.3828297344152816e-05,5,16,False,0.15565159916877747,0.23543736338615417,0.18881423771381378,0.16292598843574524,-60.90971374511719,69.54972839355469,8.798921585083008,-6.790227890014648,121,220439.93712278648,67.97669737643771,12.166544367647017,b'NOT_AVAILABLE',71.65201712664764,12.757088177505683,301.3957140622421,61.450527495588354,8.96117881662713e-06
5094751,1.068,0.04,0.04,1.339,0.015,0.018000000000000002,0.628,0.008,0.006999999999999999,4.213,0.008,0.006999999999999999,6.35,1.05,1.05,Silva-Aguirre et al. (2014), J19213425+4017055,5952,75.0,-75.0,4.212,0.015,-0.015,-0.08,0.10099999999999999,-0.10099999999999999,1.039,0.065,-0.065,1.3230000000000002,0.037000000000000005,-0.037000000000000005,0.6406,0.032260000000000004,-0.032260000000000004,MULT8,12.365,,,,2,2,3,005/005094/005094751/dv/kplr005094751-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,290.39273,40.28487,11111111111111111,SPE8,AST8,SPE8,11.314,0.019,11.046,0.016,11.001,0.017,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,53.358000000000004,47.898,45.667,42.83,41.066,37.829,36.563,34.812,32.92,31.531999999999996,30.828000000000003,30.454,30.273000000000003,30.063000000000002,,,,-2147483648,b'3138-1820-1 ',1635378410781933568,2101175929094689920,1191237,2015.0,290.39268080704545,0.2969482347964238,40.28490582574779,0.49001366806320584,2.1090883211256366,0.6115644304065513,-7.38224959284384,2.783571912576877,10.92829635838321,2.142523329783852,0.5682200789451599,0.49066197872161865,-0.6149637699127197,-0.4849020838737488,0.6937667727470398,-0.7298510670661926,-0.6795316934585571,-0.884536862373352,-0.4052000939846039,0.5073935389518738,88,88,88,81,0,7,,1.0847922386281745,295.36135911221515,False,10.561319351196289,0.8399391174316406,2.354661592107732e-05,5,15,False,0.4384794235229492,0.24492819607257843,0.2171517014503479,0.29571160674095154,-108.9590835571289,-73.4170913696289,33.98847198486328,-1.2173395156860352,114,209978.82537291173,69.28092836427112,12.21933130899808,b'NOT_AVAILABLE',72.32577126027553,11.87794414642881,303.68287995960844,61.360856314547014,1.1834373651149986e-05
4349452,1.159,0.04,0.051,1.297,0.015,0.015,0.745,0.009000000000000001,0.01,4.275,0.006999999999999999,0.008,3.45,0.81,0.72,Silva-Aguirre et al. (2014), J19063321+3929164,6270,79.0,-79.0,4.279,0.009000000000000001,-0.009000000000000001,-0.04,0.10099999999999999,-0.10099999999999999,1.187,0.06,-0.06,1.3090000000000002,0.023,-0.023,0.7453,0.0086,-0.0086,MULT8,10.734000000000002,,,,3,2,3,004/004349/004349452/dv/kplr004349452-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,286.6384,39.487881,11111111111111111,SPE8,AST8,SPE8,9.764,0.02,9.532,0.02,9.493,0.017,0.8749,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,31.069000000000003,28.275,27.456,26.041999999999998,25.229,23.699,23.131999999999998,22.284000000000002,21.223000000000003,20.497,20.158,19.937,19.868,19.802,,,,-2147483648,b'3124-1264-1 ',1635378410781933568,2100451625808756608,892942,2015.0,286.63839056020765,0.14007320044758337,39.48790290572687,0.2582048495851679,3.9329910875206506,0.2867965777254768,-0.429422670489233,1.4752756757684802,5.848759057413549,0.9289164207899232,-0.11457452178001404,0.1875903159379959,-0.2858191728591919,0.06860217452049255,0.2765672504901886,-0.2232273519039154,-0.4772864282131195,-0.8007639646530151,0.2572779655456543,-0.5559767484664917,87,87,87,87,0,0,,0.41065374349440104,319.23384587842315,False,4.103783130645752,5.269001007080078,3.084022682742216e-05,5,13,False,0.459266722202301,0.4735197126865387,0.33736705780029297,0.23453952372074127,-111.9557113647461,57.8824577331543,25.980911254882812,-43.41842269897461,105,935840.4917832788,4296.436635022791,10.59676548323894,b'NOT_AVAILABLE',70.34970671930391,14.16402744642987,297.44587980952656,61.35126813244124,6.0230924392867674e-06
8478994,0.81,0.019,0.011000000000000001,0.772,0.003,0.006,2.4859999999999998,0.022000000000000002,0.025,4.57,0.003,0.002,5.35,0.91,1.01,Silva-Aguirre et al. (2014), J18561431+4431052,5417,75.0,-75.0,4.567,0.04,-0.04,-0.32,0.07,-0.07,0.803,0.068,-0.068,0.772,0.026000000000000002,-0.026000000000000002,2.458,0.046,-0.046,MULT8,9.705,,,,4,4,2,008/008478/008478994/dv/kplr008478994-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,284.05953999999997,44.518215000000005,11111111111111111,SPE8,AST8,SPE8,8.356,0.018000000000000002,8.0,0.024,7.942,0.013000000000000001,0.8744,1459.789,7.1,7.1,8.447000000000001,8.234,8.337,9.074,8.915,7.699,7.1,7.1,7.1,7.1,7.1,7.1,21.698,20.881999999999998,21.331999999999997,21.141,21.249000000000002,20.730999999999998,20.305999999999997,20.0,19.686,19.352,19.38,19.49,19.645,20.544,,,,-2147483648,b'3131-1199-1 ',1635378410781933568,2106674071344722688,2009641,2015.0,284.05926212617896,0.16003466574584918,44.51836644525579,0.20991099301400729,15.290187100002758,0.27351821080943883,-60.54442057503361,0.7383381723633072,49.03851169107485,0.7212864045215754,-0.26449182629585266,-0.29574835300445557,-0.3790602385997772,0.19796878099441528,0.7717515230178833,-0.48358720541000366,-0.5964421629905701,-0.5892404317855835,-0.604937732219696,0.2052379846572876,98,90,89,89,9,1,,0.339425662606216,170.45242232570897,False,3.438363790512085,7.74443244934082,2.15822637983365e-05,5,15,False,0.21529173851013184,0.3175323009490967,0.4168456792831421,0.1795005053281784,-72.88109588623047,65.3408432006836,-10.832980155944824,-6.608672142028809,97,2598654.876111675,2637.971578894389,9.487898550691,b'NOT_AVAILABLE',74.43726218326869,17.84362517383426,295.9645803301074,66.69482867725658,7.567926311580707e-05
11295426,1.068,0.011000000000000001,0.019,1.237,0.006,0.006,0.795,0.005,0.011000000000000001,4.28,0.003,0.003,6.31,0.32,0.34,Silva-Aguirre et al. (2014), J19240775+4902249,5793,74.0,-74.0,4.282,0.022000000000000002,-0.022000000000000002,0.12,0.07400000000000001,-0.07400000000000001,1.079,0.051,-0.051,1.2429999999999999,0.019,-0.019,0.7903,0.0054,-0.0054,MULT8,9.997,,,,3,2,2,011/011295/011295426/dv/kplr011295426-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,291.03232,49.040271999999995,11111111111111111,SPE8,AST8,SPE8,8.975,0.046,8.662,0.028999999999999998,8.588,0.022000000000000002,0.8749,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,27.068,24.529,23.514,22.146,21.385,19.869,19.21,18.274,17.285999999999998,16.574,16.043,15.447000000000001,15.312999999999999,14.663,,,,-2147483648,b'3551-189-1  ',1635378410781933568,2129550441554418432,1984205,2015.0,291.0323116967873,0.14244044934610794,49.04021429776998,0.22045729697791522,6.718735373440395,0.2428829524639257,-6.736574674881938,0.9285774980868899,-10.980888900933362,0.6944226112942249,0.08981906622648239,0.18776781857013702,-0.48398640751838684,-0.04121020808815956,0.5953260660171509,-0.4601227641105652,-0.6084802746772766,-0.7607594728469849,-0.2810387909412384,-0.026264216750860214,116,116,115,116,1,0,,0.335462364103245,148.14996487259913,False,3.401630163192749,7.907276630401611,2.44202801695792e-05,5,17,False,0.20839139819145203,0.3249436020851135,0.08700227737426758,0.16768671572208405,-109.443603515625,67.01068878173828,3.551060438156128,26.673946380615234,128,1804313.9220442255,2939.773136199912,9.8839898134881,b'NOT_AVAILABLE',80.69123750047598,15.153590667336891,312.033933007559,69.42896991816566,2.558720280188628e-05
